case_id,date_reception,canal,objet_recours,decision_contestee,motif_demandeur,pieces_fournies,pieces_manquantes,statut_recevabilite_probable,risque,decision_attendue,niveau_hitl,question_administrateur_exemple,relations_graphrag_attendues,source_principale_url,note
REC-2026-0047,2026-05-26,Chikaya,demande de reouverture,demande complement,erreur de service competent signalee,attestation fiscale; email service; accuse reception; decision contestee; pieces complementaires; preuve depot initial; justificatif local,courrier recours,recevabilite_non_verifiable,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0047 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0048,2026-05-29,Email,demande de reouverture,orientation autre service,reclamation sur absence de reponse,decision contestee; preuve depot initial; attestation fiscale; justificatif local; accuse reception; registre de commerce,courrier recours,recevabilite_non_verifiable,contradiction entre email et decision,escalade_hitl_orange,ORANGE,Le recours REC-2026-0048 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->reclamation sur absence de reponse; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0049,2026-06-01,Guichet,demande de reouverture,demande complement,delai de traitement juge trop long,justificatif local; attestation fiscale; preuve depot initial; registre de commerce; courrier recours,decision contestee,recevabilite_non_verifiable,aucun risque majeur,escalade_hitl_orange,ORANGE,Le recours REC-2026-0049 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->delai de traitement juge trop long; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0050,2026-06-04,Chikaya,reclamation,orientation autre service,demande de reouverture apres complement de pieces,decision contestee; justificatif local; attestation fiscale,preuve depot initial; courrier recours,recevabilite_non_verifiable,delai sensible,escalade_hitl_orange,ORANGE,Le recours REC-2026-0050 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->demande de reouverture apres complement de pieces; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0051,2026-06-07,Chikaya,autorisation,absence reponse,reclamation sur absence de reponse,decision contestee; email service; registre de commerce,preuve depot initial; courrier recours,recevabilite_non_verifiable,delai sensible,escalade_hitl_orange,ORANGE,Le recours REC-2026-0051 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->reclamation sur absence de reponse; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0052,2026-06-10,Email,demande de reouverture,classement sans suite,montant d'aide attendu different de la notification,justificatif local; email service; attestation fiscale; pieces complementaires; registre de commerce; accuse reception; preuve depot initial,decision contestee; courrier recours,recevabilite_non_verifiable,contradiction entre email et decision,escalade_hitl_orange,ORANGE,Le recours REC-2026-0052 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->montant d'aide attendu different de la notification; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0053,2026-06-13,Email,reclamation,classement sans suite,reclamation sur absence de reponse,registre de commerce; justificatif local; attestation fiscale; courrier recours,decision contestee; preuve depot initial,recevabilite_non_verifiable,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0053 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->reclamation sur absence de reponse; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;preuve depot initial; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0054,2026-06-16,Courrier scanne,demande de reouverture,classement sans suite,demande de reouverture apres complement de pieces,decision contestee; preuve depot initial; email service; registre de commerce,courrier recours,recevabilite_non_verifiable,demande a fort impact financier,escalade_hitl_orange,ROUGE,Le recours REC-2026-0054 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->demande de reouverture apres complement de pieces; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->courrier recours; Risque->ROUGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0055,2026-06-19,Courrier scanne,autorisation,absence reponse,erreur de service competent signalee,courrier recours; justificatif local; attestation fiscale,decision contestee; preuve depot initial,recevabilite_non_verifiable,demande a fort impact financier,escalade_hitl_orange,ROUGE,Le recours REC-2026-0055 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;preuve depot initial; Risque->ROUGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0056,2026-06-22,Courrier scanne,autorisation,orientation autre service,montant d'aide attendu different de la notification,justificatif local; attestation fiscale; pieces complementaires; courrier recours; preuve depot initial; accuse reception; registre de commerce,decision contestee,recevabilite_non_verifiable,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0056 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->montant d'aide attendu different de la notification; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0057,2026-06-25,Guichet,aide,orientation autre service,erreur de service competent signalee,justificatif local; email service; decision contestee; registre de commerce; accuse reception,preuve depot initial; courrier recours,recevabilite_non_verifiable,demande a fort impact financier,escalade_hitl_orange,ROUGE,Le recours REC-2026-0057 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial;courrier recours; Risque->ROUGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0058,2026-06-28,Chikaya,aide,classement sans suite,erreur de service competent signalee,preuve depot initial; courrier recours; email service; justificatif local; accuse reception; attestation fiscale,decision contestee,recevabilite_non_verifiable,aucun risque majeur,escalade_hitl_orange,ORANGE,Le recours REC-2026-0058 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0059,2026-07-01,Courrier scanne,reclamation,absence reponse,erreur de service competent signalee,preuve depot initial; accuse reception; attestation fiscale; decision contestee; courrier recours; email service,aucune,recevable_a_verifier,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0059 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0060,2026-07-04,Guichet,aide,absence reponse,autorisation refusee pour manque justificatif local,accuse reception; registre de commerce; preuve depot initial; decision contestee; attestation fiscale,courrier recours,recevabilite_non_verifiable,delai sensible,escalade_hitl_orange,ORANGE,Le recours REC-2026-0060 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0061,2026-07-07,Email,aide,demande complement,erreur de service competent signalee,courrier recours; decision contestee; email service; registre de commerce; accuse reception; attestation fiscale; preuve depot initial,aucune,recevable_a_verifier,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0061 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0062,2026-07-10,Email,autorisation,absence reponse,autorisation refusee pour manque justificatif local,courrier recours; accuse reception; registre de commerce; justificatif local; decision contestee,preuve depot initial,recevabilite_non_verifiable,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0062 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0063,2026-07-13,Chikaya,reclamation,refus,erreur de service competent signalee,courrier recours; accuse reception; justificatif local; email service; preuve depot initial,decision contestee,recevabilite_non_verifiable,contradiction entre email et decision,escalade_hitl_orange,ORANGE,Le recours REC-2026-0063 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0064,2026-07-16,Email,demande de reouverture,classement sans suite,reclamation sur absence de reponse,courrier recours; attestation fiscale; justificatif local; pieces complementaires,decision contestee; preuve depot initial,recevabilite_non_verifiable,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0064 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->reclamation sur absence de reponse; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;preuve depot initial; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0065,2026-07-19,Chikaya,autorisation,absence reponse,reclamation sur absence de reponse,email service; decision contestee; registre de commerce; courrier recours,preuve depot initial,recevabilite_non_verifiable,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0065 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->reclamation sur absence de reponse; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0066,2026-07-22,Courrier scanne,demande de reouverture,demande complement,erreur de service competent signalee,attestation fiscale; accuse reception; pieces complementaires; email service; registre de commerce; preuve depot initial,decision contestee; courrier recours,recevabilite_non_verifiable,demande a fort impact financier,escalade_hitl_orange,ROUGE,Le recours REC-2026-0066 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ROUGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0067,2026-07-25,Courrier scanne,reclamation,orientation autre service,reclamation sur absence de reponse,registre de commerce; justificatif local; decision contestee; courrier recours,preuve depot initial,recevabilite_non_verifiable,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0067 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->reclamation sur absence de reponse; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0068,2026-07-28,Guichet,reclamation,demande complement,erreur de service competent signalee,preuve depot initial; email service; justificatif local,decision contestee; courrier recours,recevabilite_non_verifiable,aucun risque majeur,escalade_hitl_orange,ORANGE,Le recours REC-2026-0068 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0069,2026-07-31,Email,autorisation,orientation autre service,erreur de service competent signalee,preuve depot initial; accuse reception; email service; attestation fiscale; pieces complementaires,decision contestee; courrier recours,recevabilite_non_verifiable,demande a fort impact financier,escalade_hitl_orange,ROUGE,Le recours REC-2026-0069 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ROUGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0070,2026-08-03,Chikaya,demande de reouverture,refus,reclamation sur absence de reponse,courrier recours; email service; accuse reception; decision contestee; attestation fiscale,preuve depot initial,recevabilite_non_verifiable,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0070 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->reclamation sur absence de reponse; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0071,2026-08-06,Chikaya,aide,orientation autre service,refus pour dossier incomplet conteste par le demandeur,preuve depot initial; attestation fiscale; courrier recours; registre de commerce; justificatif local; accuse reception; decision contestee,aucune,recevable_a_verifier,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0071 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->refus pour dossier incomplet conteste par le demandeur; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0072,2026-08-09,Email,aide,classement sans suite,demande de reouverture apres complement de pieces,preuve depot initial; registre de commerce; decision contestee; accuse reception,courrier recours,recevabilite_non_verifiable,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0072 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->demande de reouverture apres complement de pieces; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0073,2026-08-12,Guichet,reclamation,classement sans suite,delai de traitement juge trop long,accuse reception; attestation fiscale; email service; decision contestee; pieces complementaires,preuve depot initial; courrier recours,recevabilite_non_verifiable,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0073 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->delai de traitement juge trop long; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0074,2026-08-15,Chikaya,reclamation,demande complement,erreur de service competent signalee,accuse reception; decision contestee; pieces complementaires,preuve depot initial; courrier recours,recevabilite_non_verifiable,delai sensible,escalade_hitl_orange,ORANGE,Le recours REC-2026-0074 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0075,2026-08-18,Email,demande de reouverture,refus,montant d'aide attendu different de la notification,attestation fiscale; preuve depot initial; pieces complementaires; registre de commerce,decision contestee; courrier recours,recevabilite_non_verifiable,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0075 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->montant d'aide attendu different de la notification; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0076,2026-08-21,Courrier scanne,reclamation,refus,autorisation refusee pour manque justificatif local,registre de commerce; justificatif local; preuve depot initial; accuse reception,decision contestee; courrier recours,recevabilite_non_verifiable,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0076 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0077,2026-08-24,Courrier scanne,aide,absence reponse,autorisation refusee pour manque justificatif local,preuve depot initial; registre de commerce; accuse reception,decision contestee; courrier recours,recevabilite_non_verifiable,delai sensible,escalade_hitl_orange,ORANGE,Le recours REC-2026-0077 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0078,2026-08-27,Guichet,demande de reouverture,orientation autre service,delai de traitement juge trop long,decision contestee; registre de commerce; email service; pieces complementaires,preuve depot initial; courrier recours,recevabilite_non_verifiable,contradiction entre email et decision,escalade_hitl_orange,ORANGE,Le recours REC-2026-0078 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->delai de traitement juge trop long; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0079,2026-08-30,Chikaya,autorisation,refus,erreur de service competent signalee,registre de commerce; attestation fiscale; pieces complementaires,decision contestee; preuve depot initial; courrier recours,recevabilite_non_verifiable,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0079 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0080,2026-09-02,Courrier scanne,aide,refus,autorisation refusee pour manque justificatif local,attestation fiscale; preuve depot initial; accuse reception; justificatif local; courrier recours; email service,decision contestee,recevabilite_non_verifiable,delai sensible,escalade_hitl_orange,ORANGE,Le recours REC-2026-0080 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0081,2026-09-05,Email,aide,absence reponse,autorisation refusee pour manque justificatif local,registre de commerce; email service; decision contestee; pieces complementaires; courrier recours,preuve depot initial,recevabilite_non_verifiable,contradiction entre email et decision,escalade_hitl_orange,ORANGE,Le recours REC-2026-0081 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0082,2026-09-08,Courrier scanne,aide,absence reponse,autorisation refusee pour manque justificatif local,accuse reception; justificatif local; decision contestee; email service,preuve depot initial; courrier recours,recevabilite_non_verifiable,delai sensible,escalade_hitl_orange,ORANGE,Le recours REC-2026-0082 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0083,2026-09-11,Email,demande de reouverture,absence reponse,autorisation refusee pour manque justificatif local,courrier recours; decision contestee; preuve depot initial; attestation fiscale,aucune,recevable_a_verifier,aucun risque majeur,reponse_argumentee_possible,VERT,Le recours REC-2026-0083 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->VERT,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0084,2026-09-14,Chikaya,aide,demande complement,montant d'aide attendu different de la notification,registre de commerce; accuse reception; pieces complementaires,decision contestee; preuve depot initial; courrier recours,recevabilite_non_verifiable,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0084 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->montant d'aide attendu different de la notification; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0085,2026-09-17,Courrier scanne,autorisation,orientation autre service,refus pour dossier incomplet conteste par le demandeur,email service; decision contestee; pieces complementaires,preuve depot initial; courrier recours,recevabilite_non_verifiable,contradiction entre email et decision,escalade_hitl_orange,ORANGE,Le recours REC-2026-0085 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->refus pour dossier incomplet conteste par le demandeur; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0086,2026-09-20,Chikaya,demande de reouverture,orientation autre service,erreur de service competent signalee,preuve depot initial; decision contestee; email service; registre de commerce,courrier recours,recevabilite_non_verifiable,demande a fort impact financier,escalade_hitl_orange,ROUGE,Le recours REC-2026-0086 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->courrier recours; Risque->ROUGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0087,2026-09-23,Chikaya,reclamation,refus,demande de reouverture apres complement de pieces,pieces complementaires; courrier recours; decision contestee,preuve depot initial,recevabilite_non_verifiable,demande a fort impact financier,escalade_hitl_orange,ROUGE,Le recours REC-2026-0087 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->demande de reouverture apres complement de pieces; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial; Risque->ROUGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0088,2026-09-26,Email,aide,classement sans suite,montant d'aide attendu different de la notification,courrier recours; preuve depot initial; justificatif local; decision contestee; email service; pieces complementaires,aucune,recevable_a_verifier,aucun risque majeur,reponse_argumentee_possible,VERT,Le recours REC-2026-0088 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->montant d'aide attendu different de la notification; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->VERT,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0089,2026-09-29,Chikaya,autorisation,demande complement,delai de traitement juge trop long,email service; justificatif local; courrier recours; decision contestee; accuse reception; preuve depot initial,aucune,recevable_a_verifier,contradiction entre email et decision,escalade_hitl_orange,ORANGE,Le recours REC-2026-0089 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->delai de traitement juge trop long; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0090,2026-10-02,Email,reclamation,orientation autre service,reclamation sur absence de reponse,preuve depot initial; accuse reception; registre de commerce,decision contestee; courrier recours,recevabilite_non_verifiable,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0090 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->reclamation sur absence de reponse; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0091,2026-10-05,Courrier scanne,autorisation,refus,demande de reouverture apres complement de pieces,attestation fiscale; pieces complementaires; accuse reception; decision contestee,preuve depot initial; courrier recours,recevabilite_non_verifiable,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0091 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->demande de reouverture apres complement de pieces; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0092,2026-10-08,Courrier scanne,autorisation,classement sans suite,erreur de service competent signalee,preuve depot initial; decision contestee; attestation fiscale; registre de commerce; justificatif local; courrier recours,aucune,recevable_a_verifier,demande a fort impact financier,escalade_hitl_orange,ROUGE,Le recours REC-2026-0092 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->ROUGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0093,2026-10-11,Chikaya,autorisation,absence reponse,demande de reouverture apres complement de pieces,accuse reception; attestation fiscale; pieces complementaires; preuve depot initial,decision contestee; courrier recours,recevabilite_non_verifiable,aucun risque majeur,escalade_hitl_orange,ORANGE,Le recours REC-2026-0093 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->demande de reouverture apres complement de pieces; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
