case_id,date_reception,commune,activite,type_autorisation,canal_depot,pieces_fournies,pieces_obligatoires_attendues,pieces_manquantes,service_competent,delai_instruction_indicatif,risque_principal,decision_attendue,niveau_hitl,question_administrateur_exemple,relations_graphrag_attendues,source_principale_url,note
AUT-2026-0032,2026-03-10,Rabat,atelier de fabrication textile,autorisation exploitation commerciale,Guichet commune,CIN representant; plan cadastral; photos du local; registre de commerce; demande d'autorisation,photos du local; plan cadastral; registre de commerce; certificat propriete ou bail; demande d'autorisation; statuts societe; CIN representant; certificat de conformite,certificat propriete ou bail; statuts societe; certificat de conformite,division affaires economiques,7 jours,risque hygiene/securite,demande_complement,ROUGE,Verifier si le dossier AUT-2026-0032 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->photos du local;plan cadastral;registre de commerce;certificat propriete ou bail;demande d'autorisation;statuts societe;CIN representant;certificat de conformite; Dossier->a_fourni->CIN representant;plan cadastral;photos du local;registre de commerce;demande d'autorisation; Dossier->manque->certificat propriete ou bail;statuts societe;certificat de conformite; Risque->ROUGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0033,2026-03-12,Meknes,services de nettoyage,autorisation occupation temporaire,Depot papier scanne,plan amenagement; demande d'autorisation; photos du local; certificat propriete ou bail; registre de commerce; statuts societe; certificat de conformite,plan amenagement; statuts societe; demande manuscrite; registre de commerce; demande d'autorisation,demande manuscrite,division affaires economiques,15 jours,adresse divergente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0033 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->plan amenagement;statuts societe;demande manuscrite;registre de commerce;demande d'autorisation; Dossier->a_fourni->plan amenagement;demande d'autorisation;photos du local;certificat propriete ou bail;registre de commerce;statuts societe;certificat de conformite; Dossier->manque->demande manuscrite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0034,2026-03-14,Rabat,imprimerie,autorisation simple declaration,Guichet commune,photos du local; demande d'autorisation; plan cadastral,plan cadastral; demande d'autorisation; CIN representant; statuts societe; registre de commerce,CIN representant; statuts societe; registre de commerce,plateforme Rokhas,a confirmer par service competent,surface local non documentee,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0034 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->plan cadastral;demande d'autorisation;CIN representant;statuts societe;registre de commerce; Dossier->a_fourni->photos du local;demande d'autorisation;plan cadastral; Dossier->manque->CIN representant;statuts societe;registre de commerce; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0035,2026-03-16,Rabat,atelier de fabrication textile,autorisation exploitation commerciale,Depot papier scanne,plan amenagement; certificat propriete ou bail; demande manuscrite; statuts societe; certificat de conformite,statuts societe; certificat propriete ou bail; demande d'autorisation; demande manuscrite; certificat de conformite; CIN representant,demande d'autorisation; CIN representant,division affaires economiques,15 jours,dossier depose dans mauvais service,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0035 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->statuts societe;certificat propriete ou bail;demande d'autorisation;demande manuscrite;certificat de conformite;CIN representant; Dossier->a_fourni->plan amenagement;certificat propriete ou bail;demande manuscrite;statuts societe;certificat de conformite; Dossier->manque->demande d'autorisation;CIN representant; Risque->ORANGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0036,2026-03-18,Rabat,atelier mecanique,autorisation enseigne,Depot papier scanne,CIN representant; registre de commerce; certificat propriete ou bail,photos du local; plan cadastral; certificat de conformite; registre de commerce; CIN representant; demande manuscrite; certificat propriete ou bail,photos du local; plan cadastral; certificat de conformite; demande manuscrite,plateforme Rokhas,30 jours,piece identite absente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0036 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->photos du local;plan cadastral;certificat de conformite;registre de commerce;CIN representant;demande manuscrite;certificat propriete ou bail; Dossier->a_fourni->CIN representant;registre de commerce;certificat propriete ou bail; Dossier->manque->photos du local;plan cadastral;certificat de conformite;demande manuscrite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0037,2026-03-20,Marrakech,hebergement touristique,autorisation occupation temporaire,Guichet commune,statuts societe; certificat propriete ou bail; demande manuscrite; plan amenagement; photos du local; registre de commerce,demande manuscrite; photos du local; CIN representant; plan amenagement; registre de commerce,CIN representant,service autorisations economiques,15 jours,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0037 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->demande manuscrite;photos du local;CIN representant;plan amenagement;registre de commerce; Dossier->a_fourni->statuts societe;certificat propriete ou bail;demande manuscrite;plan amenagement;photos du local;registre de commerce; Dossier->manque->CIN representant; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0038,2026-03-22,Casablanca,salon de coiffure,autorisation enseigne,Guichet commune,demande manuscrite; CIN representant; certificat propriete ou bail; certificat de conformite; demande d'autorisation; plan amenagement; photos du local,demande manuscrite; demande d'autorisation; statuts societe; registre de commerce; certificat propriete ou bail; certificat de conformite; CIN representant; photos du local,statuts societe; registre de commerce,division affaires economiques,a confirmer par service competent,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0038 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->demande manuscrite;demande d'autorisation;statuts societe;registre de commerce;certificat propriete ou bail;certificat de conformite;CIN representant;photos du local; Dossier->a_fourni->demande manuscrite;CIN representant;certificat propriete ou bail;certificat de conformite;demande d'autorisation;plan amenagement;photos du local; Dossier->manque->statuts societe;registre de commerce; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0039,2026-03-24,Rabat,atelier de fabrication textile,autorisation enseigne,Depot papier scanne,plan amenagement; registre de commerce; certificat propriete ou bail; plan cadastral,certificat de conformite; statuts societe; certificat propriete ou bail; demande d'autorisation; plan cadastral,certificat de conformite; statuts societe; demande d'autorisation,service autorisations economiques,15 jours,risque hygiene/securite,demande_complement,ROUGE,Verifier si le dossier AUT-2026-0039 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->certificat de conformite;statuts societe;certificat propriete ou bail;demande d'autorisation;plan cadastral; Dossier->a_fourni->plan amenagement;registre de commerce;certificat propriete ou bail;plan cadastral; Dossier->manque->certificat de conformite;statuts societe;demande d'autorisation; Risque->ROUGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0040,2026-03-26,Casablanca,salon de coiffure,autorisation activite alimentaire,CRI,registre de commerce; statuts societe; demande manuscrite; CIN representant,plan cadastral; plan amenagement; demande d'autorisation; CIN representant; photos du local; certificat de conformite; certificat propriete ou bail; statuts societe,plan cadastral; plan amenagement; demande d'autorisation; photos du local; certificat de conformite; certificat propriete ou bail,plateforme Rokhas,a confirmer par service competent,piece identite absente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0040 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->plan cadastral;plan amenagement;demande d'autorisation;CIN representant;photos du local;certificat de conformite;certificat propriete ou bail;statuts societe; Dossier->a_fourni->registre de commerce;statuts societe;demande manuscrite;CIN representant; Dossier->manque->plan cadastral;plan amenagement;demande d'autorisation;photos du local;certificat de conformite;certificat propriete ou bail; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0041,2026-03-28,Agadir,hebergement touristique,autorisation activite alimentaire,Depot papier scanne,CIN representant; demande manuscrite; demande d'autorisation; certificat de conformite; photos du local; registre de commerce; plan cadastral,demande d'autorisation; certificat propriete ou bail; statuts societe; CIN representant; demande manuscrite; plan cadastral; photos du local; registre de commerce,certificat propriete ou bail; statuts societe,guichet commune,15 jours,aucun risque majeur,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0041 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->demande d'autorisation;certificat propriete ou bail;statuts societe;CIN representant;demande manuscrite;plan cadastral;photos du local;registre de commerce; Dossier->a_fourni->CIN representant;demande manuscrite;demande d'autorisation;certificat de conformite;photos du local;registre de commerce;plan cadastral; Dossier->manque->certificat propriete ou bail;statuts societe; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0042,2026-03-30,Marrakech,formation professionnelle privee,autorisation exploitation commerciale,CRI,photos du local; CIN representant; registre de commerce; demande d'autorisation; certificat propriete ou bail; certificat de conformite; plan amenagement,certificat de conformite; CIN representant; demande d'autorisation; plan cadastral; registre de commerce; plan amenagement; demande manuscrite,plan cadastral; demande manuscrite,division affaires economiques,15 jours,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0042 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->certificat de conformite;CIN representant;demande d'autorisation;plan cadastral;registre de commerce;plan amenagement;demande manuscrite; Dossier->a_fourni->photos du local;CIN representant;registre de commerce;demande d'autorisation;certificat propriete ou bail;certificat de conformite;plan amenagement; Dossier->manque->plan cadastral;demande manuscrite; Risque->ORANGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0043,2026-04-01,Marrakech,salon de coiffure,autorisation simple declaration,Rokhas,demande manuscrite; statuts societe; registre de commerce; CIN representant; demande d'autorisation; photos du local,photos du local; demande d'autorisation; certificat de conformite; statuts societe; plan cadastral; certificat propriete ou bail; plan amenagement,certificat de conformite; plan cadastral; certificat propriete ou bail; plan amenagement,CRI / orientation investissement,a confirmer par service competent,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0043 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->photos du local;demande d'autorisation;certificat de conformite;statuts societe;plan cadastral;certificat propriete ou bail;plan amenagement; Dossier->a_fourni->demande manuscrite;statuts societe;registre de commerce;CIN representant;demande d'autorisation;photos du local; Dossier->manque->certificat de conformite;plan cadastral;certificat propriete ou bail;plan amenagement; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0044,2026-04-03,Laayoune,services de nettoyage,autorisation exploitation commerciale,Rokhas,demande d'autorisation; registre de commerce; demande manuscrite,certificat de conformite; CIN representant; registre de commerce; plan amenagement; photos du local; certificat propriete ou bail; plan cadastral,certificat de conformite; CIN representant; plan amenagement; photos du local; certificat propriete ou bail; plan cadastral,guichet commune,a confirmer par service competent,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0044 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->certificat de conformite;CIN representant;registre de commerce;plan amenagement;photos du local;certificat propriete ou bail;plan cadastral; Dossier->a_fourni->demande d'autorisation;registre de commerce;demande manuscrite; Dossier->manque->certificat de conformite;CIN representant;plan amenagement;photos du local;certificat propriete ou bail;plan cadastral; Risque->ORANGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0045,2026-04-05,Marrakech,atelier mecanique,autorisation activite alimentaire,Depot papier scanne,plan amenagement; photos du local; registre de commerce; demande manuscrite; statuts societe; plan cadastral,photos du local; statuts societe; certificat de conformite; certificat propriete ou bail; plan cadastral,certificat de conformite; certificat propriete ou bail,guichet commune,30 jours,risque hygiene/securite,demande_complement,ROUGE,Verifier si le dossier AUT-2026-0045 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->photos du local;statuts societe;certificat de conformite;certificat propriete ou bail;plan cadastral; Dossier->a_fourni->plan amenagement;photos du local;registre de commerce;demande manuscrite;statuts societe;plan cadastral; Dossier->manque->certificat de conformite;certificat propriete ou bail; Risque->ROUGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0046,2026-04-07,Agadir,atelier mecanique,autorisation simple declaration,Rokhas,CIN representant; certificat propriete ou bail; plan amenagement; demande manuscrite; registre de commerce; demande d'autorisation; plan cadastral,demande d'autorisation; plan cadastral; certificat de conformite; certificat propriete ou bail; statuts societe; registre de commerce,certificat de conformite; statuts societe,guichet commune,a confirmer par service competent,risque hygiene/securite,demande_complement,ROUGE,Verifier si le dossier AUT-2026-0046 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->demande d'autorisation;plan cadastral;certificat de conformite;certificat propriete ou bail;statuts societe;registre de commerce; Dossier->a_fourni->CIN representant;certificat propriete ou bail;plan amenagement;demande manuscrite;registre de commerce;demande d'autorisation;plan cadastral; Dossier->manque->certificat de conformite;statuts societe; Risque->ROUGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0047,2026-04-09,Oujda,e-commerce artisanal,autorisation exploitation commerciale,Depot papier scanne,plan cadastral; plan amenagement; certificat de conformite,CIN representant; certificat de conformite; certificat propriete ou bail; registre de commerce; plan cadastral; demande d'autorisation; statuts societe,CIN representant; certificat propriete ou bail; registre de commerce; demande d'autorisation; statuts societe,guichet commune,a confirmer par service competent,piece identite absente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0047 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->CIN representant;certificat de conformite;certificat propriete ou bail;registre de commerce;plan cadastral;demande d'autorisation;statuts societe; Dossier->a_fourni->plan cadastral;plan amenagement;certificat de conformite; Dossier->manque->CIN representant;certificat propriete ou bail;registre de commerce;demande d'autorisation;statuts societe; Risque->ORANGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0048,2026-04-11,Fes,restaurant et restauration rapide,autorisation exploitation commerciale,Rokhas,statuts societe; certificat propriete ou bail; demande manuscrite; registre de commerce; plan amenagement,certificat de conformite; CIN representant; registre de commerce; demande manuscrite; demande d'autorisation; photos du local; plan amenagement; statuts societe,certificat de conformite; CIN representant; demande d'autorisation; photos du local,guichet commune,a confirmer par service competent,dossier depose dans mauvais service,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0048 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->certificat de conformite;CIN representant;registre de commerce;demande manuscrite;demande d'autorisation;photos du local;plan amenagement;statuts societe; Dossier->a_fourni->statuts societe;certificat propriete ou bail;demande manuscrite;registre de commerce;plan amenagement; Dossier->manque->certificat de conformite;CIN representant;demande d'autorisation;photos du local; Risque->ORANGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0049,2026-04-13,Tetouan,fabrication de mobilier,autorisation ouverture etablissement,CRI,photos du local; CIN representant; demande manuscrite,plan cadastral; registre de commerce; certificat de conformite; certificat propriete ou bail; demande d'autorisation,plan cadastral; registre de commerce; certificat de conformite; certificat propriete ou bail; demande d'autorisation,guichet commune,15 jours,dossier depose dans mauvais service,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0049 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->plan cadastral;registre de commerce;certificat de conformite;certificat propriete ou bail;demande d'autorisation; Dossier->a_fourni->photos du local;CIN representant;demande manuscrite; Dossier->manque->plan cadastral;registre de commerce;certificat de conformite;certificat propriete ou bail;demande d'autorisation; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0050,2026-04-15,Marrakech,prestataire informatique,autorisation exploitation commerciale,Rokhas,demande d'autorisation; plan cadastral; certificat propriete ou bail; registre de commerce; photos du local,plan cadastral; demande manuscrite; plan amenagement; certificat propriete ou bail; demande d'autorisation,demande manuscrite; plan amenagement,division affaires economiques,15 jours,aucun risque majeur,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0050 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->plan cadastral;demande manuscrite;plan amenagement;certificat propriete ou bail;demande d'autorisation; Dossier->a_fourni->demande d'autorisation;plan cadastral;certificat propriete ou bail;registre de commerce;photos du local; Dossier->manque->demande manuscrite;plan amenagement; Risque->ORANGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0051,2026-04-17,Agadir,atelier mecanique,autorisation ouverture etablissement,Depot papier scanne,certificat propriete ou bail; demande manuscrite; plan cadastral; certificat de conformite; registre de commerce,certificat propriete ou bail; plan amenagement; certificat de conformite; registre de commerce; CIN representant; photos du local; statuts societe,plan amenagement; CIN representant; photos du local; statuts societe,service autorisations economiques,30 jours,dossier depose dans mauvais service,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0051 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->certificat propriete ou bail;plan amenagement;certificat de conformite;registre de commerce;CIN representant;photos du local;statuts societe; Dossier->a_fourni->certificat propriete ou bail;demande manuscrite;plan cadastral;certificat de conformite;registre de commerce; Dossier->manque->plan amenagement;CIN representant;photos du local;statuts societe; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0052,2026-04-19,Laayoune,bureau d'etudes,autorisation occupation temporaire,Depot papier scanne,demande manuscrite; plan cadastral; CIN representant; statuts societe; demande d'autorisation,statuts societe; CIN representant; certificat de conformite; plan amenagement; demande d'autorisation; certificat propriete ou bail; photos du local; demande manuscrite,certificat de conformite; plan amenagement; certificat propriete ou bail; photos du local,CRI / orientation investissement,15 jours,dossier depose dans mauvais service,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0052 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->statuts societe;CIN representant;certificat de conformite;plan amenagement;demande d'autorisation;certificat propriete ou bail;photos du local;demande manuscrite; Dossier->a_fourni->demande manuscrite;plan cadastral;CIN representant;statuts societe;demande d'autorisation; Dossier->manque->certificat de conformite;plan amenagement;certificat propriete ou bail;photos du local; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0053,2026-04-21,Marrakech,agence de voyage,autorisation occupation temporaire,Rokhas,plan amenagement; registre de commerce; demande manuscrite,certificat propriete ou bail; plan cadastral; demande d'autorisation; statuts societe; demande manuscrite; photos du local; certificat de conformite,certificat propriete ou bail; plan cadastral; demande d'autorisation; statuts societe; photos du local; certificat de conformite,plateforme Rokhas,7 jours,adresse divergente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0053 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->certificat propriete ou bail;plan cadastral;demande d'autorisation;statuts societe;demande manuscrite;photos du local;certificat de conformite; Dossier->a_fourni->plan amenagement;registre de commerce;demande manuscrite; Dossier->manque->certificat propriete ou bail;plan cadastral;demande d'autorisation;statuts societe;photos du local;certificat de conformite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0054,2026-04-23,Tetouan,bureau d'etudes,autorisation ouverture etablissement,Rokhas,plan cadastral; demande manuscrite; photos du local; certificat de conformite; registre de commerce; statuts societe; CIN representant,CIN representant; registre de commerce; statuts societe; demande manuscrite; photos du local; demande d'autorisation; plan amenagement; certificat propriete ou bail,demande d'autorisation; plan amenagement; certificat propriete ou bail,plateforme Rokhas,15 jours,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0054 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->CIN representant;registre de commerce;statuts societe;demande manuscrite;photos du local;demande d'autorisation;plan amenagement;certificat propriete ou bail; Dossier->a_fourni->plan cadastral;demande manuscrite;photos du local;certificat de conformite;registre de commerce;statuts societe;CIN representant; Dossier->manque->demande d'autorisation;plan amenagement;certificat propriete ou bail; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0055,2026-04-25,Casablanca,atelier mecanique,autorisation simple declaration,CRI,plan cadastral; statuts societe; certificat de conformite; photos du local; CIN representant,certificat propriete ou bail; certificat de conformite; statuts societe; plan cadastral; plan amenagement,certificat propriete ou bail; plan amenagement,plateforme Rokhas,15 jours,aucun risque majeur,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0055 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->certificat propriete ou bail;certificat de conformite;statuts societe;plan cadastral;plan amenagement; Dossier->a_fourni->plan cadastral;statuts societe;certificat de conformite;photos du local;CIN representant; Dossier->manque->certificat propriete ou bail;plan amenagement; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0056,2026-04-27,Tetouan,prestataire informatique,autorisation activite alimentaire,Guichet commune,demande d'autorisation; photos du local; statuts societe; registre de commerce; plan cadastral,demande d'autorisation; plan cadastral; photos du local; plan amenagement; certificat propriete ou bail; certificat de conformite; CIN representant; demande manuscrite,plan amenagement; certificat propriete ou bail; certificat de conformite; CIN representant; demande manuscrite,division affaires economiques,30 jours,aucun risque majeur,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0056 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->demande d'autorisation;plan cadastral;photos du local;plan amenagement;certificat propriete ou bail;certificat de conformite;CIN representant;demande manuscrite; Dossier->a_fourni->demande d'autorisation;photos du local;statuts societe;registre de commerce;plan cadastral; Dossier->manque->plan amenagement;certificat propriete ou bail;certificat de conformite;CIN representant;demande manuscrite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0057,2026-04-29,Laayoune,atelier mecanique,autorisation ouverture etablissement,Rokhas,plan cadastral; plan amenagement; photos du local; certificat de conformite,photos du local; statuts societe; plan cadastral; demande manuscrite; certificat de conformite; demande d'autorisation; certificat propriete ou bail; CIN representant,statuts societe; demande manuscrite; demande d'autorisation; certificat propriete ou bail; CIN representant,guichet commune,a confirmer par service competent,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0057 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->photos du local;statuts societe;plan cadastral;demande manuscrite;certificat de conformite;demande d'autorisation;certificat propriete ou bail;CIN representant; Dossier->a_fourni->plan cadastral;plan amenagement;photos du local;certificat de conformite; Dossier->manque->statuts societe;demande manuscrite;demande d'autorisation;certificat propriete ou bail;CIN representant; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0058,2026-05-01,Tanger,services de nettoyage,autorisation simple declaration,Depot papier scanne,demande d'autorisation; plan amenagement; certificat de conformite; registre de commerce,registre de commerce; CIN representant; demande manuscrite; plan cadastral; demande d'autorisation,CIN representant; demande manuscrite; plan cadastral,CRI / orientation investissement,a confirmer par service competent,adresse divergente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0058 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->registre de commerce;CIN representant;demande manuscrite;plan cadastral;demande d'autorisation; Dossier->a_fourni->demande d'autorisation;plan amenagement;certificat de conformite;registre de commerce; Dossier->manque->CIN representant;demande manuscrite;plan cadastral; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0059,2026-05-03,Tanger,commerce de detail alimentaire,autorisation ouverture etablissement,Depot papier scanne,registre de commerce; plan amenagement; photos du local; certificat de conformite; certificat propriete ou bail; plan cadastral,demande d'autorisation; CIN representant; photos du local; demande manuscrite; statuts societe,demande d'autorisation; CIN representant; demande manuscrite; statuts societe,service autorisations economiques,15 jours,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0059 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->demande d'autorisation;CIN representant;photos du local;demande manuscrite;statuts societe; Dossier->a_fourni->registre de commerce;plan amenagement;photos du local;certificat de conformite;certificat propriete ou bail;plan cadastral; Dossier->manque->demande d'autorisation;CIN representant;demande manuscrite;statuts societe; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0060,2026-05-05,Tanger,logistique urbaine,autorisation activite alimentaire,CRI,demande d'autorisation; certificat de conformite; plan amenagement; certificat propriete ou bail; photos du local; plan cadastral; demande manuscrite,CIN representant; certificat de conformite; demande manuscrite; registre de commerce; photos du local; plan amenagement,CIN representant; registre de commerce,plateforme Rokhas,a confirmer par service competent,adresse divergente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0060 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->CIN representant;certificat de conformite;demande manuscrite;registre de commerce;photos du local;plan amenagement; Dossier->a_fourni->demande d'autorisation;certificat de conformite;plan amenagement;certificat propriete ou bail;photos du local;plan cadastral;demande manuscrite; Dossier->manque->CIN representant;registre de commerce; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0061,2026-05-07,Tanger,prestataire informatique,autorisation enseigne,Depot papier scanne,demande d'autorisation; demande manuscrite; photos du local,statuts societe; CIN representant; plan amenagement; registre de commerce; photos du local; certificat de conformite; demande manuscrite; plan cadastral,statuts societe; CIN representant; plan amenagement; registre de commerce; certificat de conformite; plan cadastral,service autorisations economiques,30 jours,surface local non documentee,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0061 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->statuts societe;CIN representant;plan amenagement;registre de commerce;photos du local;certificat de conformite;demande manuscrite;plan cadastral; Dossier->a_fourni->demande d'autorisation;demande manuscrite;photos du local; Dossier->manque->statuts societe;CIN representant;plan amenagement;registre de commerce;certificat de conformite;plan cadastral; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
